Type,Username,Email,Password,RegionCode,IsVerified,Title,Description,Genre,Price,Publisher,IsActive,Tags,UserIndex,GameIndex,Status,CurrentLevel,ScoreCurrent,DeviceOs,ClientVersion,StartedAtOffsetHours,EndedAtOffsetHours,SessionIndex,EventType,SeverityLevel,IpAddress,LatencyMs,StateSnapshot
Session,,,,,,,,,,,,,6,6,Completed,15,12000,macOS,1.2.0,-6,-2,,,,
Session,,,,,,,,,,,,,7,7,Paused,4,750,Linux,1.0.3,-1.5,,,,,
Session,,,,,,,,,,,,,8,8,Active,6,5500,Android,2.1.0,-0.75,,,,,
Session,,,,,,,,,,,,,9,9,Completed,9,8800,iOS,1.4.0,-4,-0.5,,,,
Session,,,,,,,,,,,,,10,10,Active,2,400,Windows,1.0.0,-0.1,,,,,
Session,,,,,,,,,,,,,11,11,Paused,8,3200,macOS,2.2.0,-3,,,,,
Session,,,,,,,,,,,,,12,12,Completed,12,11500,Linux,1.5.0,-7,-3,,,,
Session,,,,,,,,,,,,,13,13,Active,1,100,Android,1.0.1,-0.2,,,,,
Session,,,,,,,,,,,,,14,14,Completed,20,20000,iOS,2.0.0,-8,-1,,,,
Session,,,,,,,,,,,,,15,15,Active,4,900,Windows,1.1.0,-0.5,,,,,
Session,,,,,,,,,,,,,16,16,Paused,3,600,macOS,1.0.4,-2,,,,,
Session,,,,,,,,,,,,,17,17,Completed,11,10200,Linux,1.6.0,-9,-4,,,,
Session,,,,,,,,,,,,,18,18,Active,7,6300,Android,2.3.0,-1,,,,,
Session,,,,,,,,,,,,,19,19,Completed,8,7800,iOS,1.7.0,-5,-0.25,,,,
Session,,,,,,,,,,,,,20,20,Active,2,350,Windows,2.0.2,-0.15,,,,,
Session,,,,,,,,,,,,,21,21,Paused,5,1100,macOS,1.2.1,-3.5,,,,,
Session,,,,,,,,,,,,,22,22,Completed,14,13800,Linux,1.8.0,-10,-5,,,,
Session,,,,,,,,,,,,,23,23,Active,3,700,Android,1.0.5,-0.6,,,,,
Session,,,,,,,,,,,,,24,24,Completed,18,17500,iOS,2.1.0,-6,-0.5,,,,
Session,,,,,,,,,,,,,25,25,Active,1,150,Windows,1.0.6,-0.1,,,,,
Session,,,,,,,,,,,,,26,26,Paused,9,4100,macOS,2.4.0,-4,,,,,
Session,,,,,,,,,,,,,27,27,Completed,16,15200,Linux,1.9.0,-11,-6,,,,
Session,,,,,,,,,,,,,28,28,Active,5,2200,Android,2.5.0,-0.8,,,,,
Session,,,,,,,,,,,,,29,29,Completed,13,12700,iOS,1.3.1,-7,-1,,,,
Session,,,,,,,,,,,,,30,30,Active,4,1800,Windows,1.1.1,-0.3,,,,,
Session,,,,,,,,,,,,,31,31,Paused,6,2600,macOS,1.0.7,-2.5,,,,,
Session,,,,,,,,,,,,,32,32,Completed,17,16400,Linux,2.0.3,-12,-7,,,,
Session,,,,,,,,,,,,,33,33,Active,2,500,Android,1.0.8,-0.4,,,,,
Session,,,,,,,,,,,,,34,34,Completed,19,18900,iOS,2.2.0,-9,-2,,,,
Session,,,,,,,,,,,,,35,35,Active,3,800,Windows,1.2.2,-0.7,,,,,
Session,,,,,,,,,,,,,36,36,Paused,7,3000,macOS,1.0.9,-3,,,,,
Session,,,,,,,,,,,,,37,37,Completed,10,9500,Linux,1.1.2,-8,-3.5,,,,
Session,,,,,,,,,,,,,38,38,Active,1,250,Android,2.6.0,-0.2,,,,,
Session,,,,,,,,,,,,,39,39,Completed,15,14600,iOS,1.4.1,-5,-0.75,,,,
Session,,,,,,,,,,,,,40,40,Active,6,2700,Windows,2.0.4,-1.1,,,,,
Session,,,,,,,,,,,,,41,41,Paused,4,950,macOS,1.3.2,-2,,,,,
Session,,,,,,,,,,,,,42,42,Completed,12,11000,Linux,1.5.1,-13,-8,,,,
Session,,,,,,,,,,,,,43,43,Active,8,6700,Android,2.7.0,-0.9,,,,,
Session,,,,,,,,,,,,,44,44,Completed,9,8400,iOS,1.6.1,-4,-1.5,,,,
Session,,,,,,,,,,,,,45,45,Active,2,420,Windows,1.0.10,-0.35,,,,,
Session,,,,,,,,,,,,,46,46,Paused,11,5200,macOS,2.5.0,-5.5,,,,,
Session,,,,,,,,,,,,,47,47,Completed,14,13300,Linux,1.7.1,-14,-9,,,,
Session,,,,,,,,,,,,,48,48,Active,3,1100,Android,1.0.11,-0.55,,,,,
Session,,,,,,,,,,,,,49,49,Completed,20,19800,iOS,2.3.0,-10,-3,,,,
Log,,,,,,,,,,,,,,,,,,,,,,,0,LevelUp,Info,192.168.1.1,12,"{""level"":3}"
Log,,,,,,,,,,,,,,,,,,,,,,,0,ItemPickup,Debug,192.168.1.1,8,
Log,,,,,,,,,,,,,,,,,,,,,,,1,GameOver,Info,10.0.0.5,5,"{""score"":9800}"
Log,,,,,,,,,,,,,,,,,,,,,,,2,Disconnect,Warning,172.16.0.10,300,
Log,,,,,,,,,,,,,,,,,,,,,,,3,Error,Error,203.0.113.42,999,"{""error"":""NullRef""}"
Log,,,,,,,,,,,,,,,,,,,,,,,4,SessionStart,Info,198.51.100.7,15,
Log,,,,,,,,,,,,,,,,,,,,,,,5,LevelUp,Info,10.0.1.1,10,"{""level"":1}"
Log,,,,,,,,,,,,,,,,,,,,,,,6,GameOver,Info,10.0.1.2,6,"{""score"":12000}"
Log,,,,,,,,,,,,,,,,,,,,,,,7,Pause,Debug,10.0.1.3,20,
Log,,,,,,,,,,,,,,,,,,,,,,,8,ItemPickup,Debug,10.0.1.4,9,
Log,,,,,,,,,,,,,,,,,,,,,,,9,GameOver,Info,10.0.1.5,7,"{""score"":8800}"
Log,,,,,,,,,,,,,,,,,,,,,,,10,LevelUp,Info,10.0.1.6,11,"{""level"":2}"
Log,,,,,,,,,,,,,,,,,,,,,,,11,Disconnect,Warning,10.0.1.7,350,
Log,,,,,,,,,,,,,,,,,,,,,,,12,GameOver,Info,10.0.1.8,4,"{""score"":11500}"
Log,,,,,,,,,,,,,,,,,,,,,,,13,SessionStart,Info,10.0.1.9,13,
Log,,,,,,,,,,,,,,,,,,,,,,,14,GameOver,Info,10.0.1.10,3,"{""score"":20000}"
Log,,,,,,,,,,,,,,,,,,,,,,,15,LevelUp,Info,10.0.1.11,14,"{""level"":4}"
Log,,,,,,,,,,,,,,,,,,,,,,,16,Pause,Debug,10.0.1.12,18,
Log,,,,,,,,,,,,,,,,,,,,,,,17,GameOver,Info,10.0.1.13,5,"{""score"":10200}"
Log,,,,,,,,,,,,,,,,,,,,,,,18,ItemPickup,Debug,10.0.1.14,11,
Log,,,,,,,,,,,,,,,,,,,,,,,19,GameOver,Info,10.0.1.15,8,"{""score"":7800}"
Log,,,,,,,,,,,,,,,,,,,,,,,20,LevelUp,Info,10.0.1.16,9,"{""level"":2}"
Log,,,,,,,,,,,,,,,,,,,,,,,21,Disconnect,Warning,10.0.1.17,410,
Log,,,,,,,,,,,,,,,,,,,,,,,22,GameOver,Info,10.0.1.18,6,"{""score"":13800}"
Log,,,,,,,,,,,,,,,,,,,,,,,23,SessionStart,Info,10.0.1.19,16,
Log,,,,,,,,,,,,,,,,,,,,,,,24,GameOver,Info,10.0.1.20,4,"{""score"":17500}"
Log,,,,,,,,,,,,,,,,,,,,,,,25,LevelUp,Info,10.0.1.21,12,"{""level"":1}"
Log,,,,,,,,,,,,,,,,,,,,,,,26,Error,Error,10.0.1.22,888,"{""error"":""Timeout""}"
Log,,,,,,,,,,,,,,,,,,,,,,,27,GameOver,Info,10.0.1.23,5,"{""score"":15200}"
Log,,,,,,,,,,,,,,,,,,,,,,,28,ItemPickup,Debug,10.0.1.24,7,
Log,,,,,,,,,,,,,,,,,,,,,,,29,GameOver,Info,10.0.1.25,9,"{""score"":12700}"
Log,,,,,,,,,,,,,,,,,,,,,,,30,LevelUp,Info,10.0.1.26,10,"{""level"":4}"
Log,,,,,,,,,,,,,,,,,,,,,,,31,Disconnect,Warning,10.0.1.27,290,
Log,,,,,,,,,,,,,,,,,,,,,,,32,GameOver,Info,10.0.1.28,3,"{""score"":16400}"
Log,,,,,,,,,,,,,,,,,,,,,,,33,SessionStart,Info,10.0.1.29,14,
Log,,,,,,,,,,,,,,,,,,,,,,,34,GameOver,Info,10.0.1.30,4,"{""score"":18900}"
Log,,,,,,,,,,,,,,,,,,,,,,,35,LevelUp,Info,10.0.1.31,11,"{""level"":3}"
Log,,,,,,,,,,,,,,,,,,,,,,,36,Pause,Debug,10.0.1.32,22,
Log,,,,,,,,,,,,,,,,,,,,,,,37,GameOver,Info,10.0.1.33,6,"{""score"":9500}"
Log,,,,,,,,,,,,,,,,,,,,,,,38,ItemPickup,Debug,10.0.1.34,8,
Log,,,,,,,,,,,,,,,,,,,,,,,39,GameOver,Info,10.0.1.35,7,"{""score"":14600}"
Log,,,,,,,,,,,,,,,,,,,,,,,40,LevelUp,Info,10.0.1.36,13,"{""level"":6}"
Log,,,,,,,,,,,,,,,,,,,,,,,41,Disconnect,Warning,10.0.1.37,470,
Log,,,,,,,,,,,,,,,,,,,,,,,42,GameOver,Info,10.0.1.38,5,"{""score"":11000}"
Log,,,,,,,,,,,,,,,,,,,,,,,43,Error,Error,10.0.1.39,777,"{""error"":""OutOfMemory""}"
Log,,,,,,,,,,,,,,,,,,,,,,,44,GameOver,Info,10.0.1.40,6,"{""score"":8400}"
Log,,,,,,,,,,,,,,,,,,,,,,,45,SessionStart,Info,10.0.1.41,17,
Log,,,,,,,,,,,,,,,,,,,,,,,46,LevelUp,Info,10.0.1.42,15,"{""level"":11}"
Log,,,,,,,,,,,,,,,,,,,,,,,47,GameOver,Info,10.0.1.43,4,"{""score"":13300}"
Log,,,,,,,,,,,,,,,,,,,,,,,48,ItemPickup,Debug,10.0.1.44,10,
Log,,,,,,,,,,,,,,,,,,,,,,,49,GameOver,Info,10.0.1.45,3,"{""score"":19800}"
